"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2015",286.197,
"GRC","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2016",260.684,
"GRC","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2017",327.574,
"GRC","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2018",81.959,
"GRC","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2019",233.963,
"GRC","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2020",279.188,
"GRC","FDISTOCK_IN_IND","MFG","MLN_USD","A","2013",11462.133,
"GRC","FDISTOCK_IN_IND","MFG","MLN_USD","A","2014",7334.937,
"GRC","FDISTOCK_IN_IND","MFG","MLN_USD","A","2015",7579.693,
"GRC","FDISTOCK_IN_IND","MFG","MLN_USD","A","2016",8005.187,
"GRC","FDISTOCK_IN_IND","MFG","MLN_USD","A","2017",9072.758,
"GRC","FDISTOCK_IN_IND","MFG","MLN_USD","A","2018",9187.145,
"GRC","FDISTOCK_IN_IND","MFG","MLN_USD","A","2019",11222.821,
"GRC","FDISTOCK_IN_IND","MFG","MLN_USD","A","2020",9045.905,
"HUN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2008",474.015,
"HUN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2009",509.265,
"HUN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2010",515.207,
"HUN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2011",451.379,
"HUN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2012",613.251,
"HUN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2013",640.77,
"HUN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2014",573.126,
"HUN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2015",554.475,
"HUN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2016",547.28,
"HUN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2017",672.935,
"HUN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2018",597.343,
"HUN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2019",576.746,
"HUN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2020",627.758,
"HUN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2008",24392.173,
"HUN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2009",24833.426,
"HUN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2010",23190.14,
"HUN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2011",12987.02,
"HUN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2012",20879.718,
"HUN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2013",23392.024,
"HUN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2014",24932.19,
"HUN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2015",9329.41,
"HUN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2016",24494.818,
"HUN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2017",39236.733,
"HUN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2018",37850.775,
"HUN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2019",39787.244,
"HUN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2020",45397.645,
"ISL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2013",40.875,
"ISL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2014",70.359,
"ISL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2015",67.417,
"ISL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2016",147.776,
"ISL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2017",189.777,
"ISL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2018",168.295,
"ISL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2019",197.662,
"ISL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2020",212.975,
"ISL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2013",1199.094,
"ISL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2014",1484.577,
"ISL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2015",1362.086,
"ISL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2016",1238.415,
"ISL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2017",1243.759,
"ISL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2018",1311.926,
"ISL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2019",1288.752,
"ISL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2020",1160.299,
"IRL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2012",,"C"
"IRL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2013",,"C"
"IRL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2014",,"C"
"IRL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2015",,"C"
"IRL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2016",,"C"
"IRL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2017",,"C"
"IRL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2018",,"C"
"IRL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2019",,"C"
"IRL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2020",,"C"
"IRL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2012",91151.715,
"IRL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2013",112053.51,
"IRL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2014",94742.293,
"IRL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2015",346463.8,
"IRL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2016",338813.113,
"IRL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2017",323992.564,
"IRL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2018",435278.223,
"IRL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2019",489076.612,
"IRL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2020",575050.926,
"ITA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2013",1090.102,
"ITA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2014",1888.587,
"ITA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2015",1209.52,
"ITA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2016",1254.39,
"ITA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2017",2164.823,
"ITA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2018",1686.447,
"ITA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2019",1936.191,
"ITA","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2020",1748.448,
"ITA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2013",88780.761,
"ITA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2014",85684.766,
"ITA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2015",83141.042,
"ITA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2016",92095.804,
"ITA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2017",118455.284,
"ITA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2018",110046.934,
"ITA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2019",119468.838,
"ITA","FDISTOCK_IN_IND","MFG","MLN_USD","A","2020",130273.813,
"JPN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2014",77.918,
"JPN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2015",78.403,
"JPN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2016",81.498,
"JPN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2017",80.858,
"JPN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2018",132.727,
"JPN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2019",114.709,
"JPN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2020",135.369,
"JPN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2014",69631.963,
"JPN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2015",73483.86,
"JPN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2016",81159.714,
"JPN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2017",88042.289,
"JPN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2018",79672.668,
"JPN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2019",89435.233,
"JPN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2020",86397.154,
"KOR","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2013",212.757,
"KOR","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2014",221.642,
"KOR","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2015",153.149,
"KOR","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2016",200.626,
"KOR","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2017",235.277,
"KOR","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2018",203.075,
"KOR","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2019",105.063,
"KOR","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2020",109.255,
"KOR","FDISTOCK_IN_IND","MFG","MLN_USD","A","2013",65792.131,
"KOR","FDISTOCK_IN_IND","MFG","MLN_USD","A","2014",65199.677,
"KOR","FDISTOCK_IN_IND","MFG","MLN_USD","A","2015",62916.418,
"KOR","FDISTOCK_IN_IND","MFG","MLN_USD","A","2016",66721.239,
"KOR","FDISTOCK_IN_IND","MFG","MLN_USD","A","2017",79861.598,
"KOR","FDISTOCK_IN_IND","MFG","MLN_USD","A","2018",82015.685,
"KOR","FDISTOCK_IN_IND","MFG","MLN_USD","A","2019",80728.299,
"KOR","FDISTOCK_IN_IND","MFG","MLN_USD","A","2020",85127.604,
"LUX","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2012",0,"Z"
"LUX","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2013",0,"Z"
"LUX","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2014",0,"Z"
"LUX","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2015",0,"Z"
"LUX","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2016",0,"Z"
"LUX","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2017",0,"Z"
"LUX","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2018",0,"Z"
"LUX","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2019",0,"Z"
"LUX","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2020",0,"Z"
"LUX","FDISTOCK_IN_IND","MFG","MLN_USD","A","2012",4627.968,
"LUX","FDISTOCK_IN_IND","MFG","MLN_USD","A","2013",4752.448,
"LUX","FDISTOCK_IN_IND","MFG","MLN_USD","A","2014",4821.191,
"LUX","FDISTOCK_IN_IND","MFG","MLN_USD","A","2015",2510.615,
"LUX","FDISTOCK_IN_IND","MFG","MLN_USD","A","2016",3853.695,
"LUX","FDISTOCK_IN_IND","MFG","MLN_USD","A","2017",5849.124,
"LUX","FDISTOCK_IN_IND","MFG","MLN_USD","A","2018",5115.64,
"LUX","FDISTOCK_IN_IND","MFG","MLN_USD","A","2019",5470.681,
"LUX","FDISTOCK_IN_IND","MFG","MLN_USD","A","2020",5479.2,
"NLD","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2013",0,"Z"
"NLD","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2014",0,"Z"
"NLD","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2015",0,"Z"
"NLD","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2016",0,"Z"
"NLD","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2017",0,"Z"
