,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.3 FDI International investment positions in the United Kingdom analysed by area & main country and by industrial activity of UK affiliates, 2017 to 2020 (Directional)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,£ million,,,,,,,,,,,,,,,,,,,
,, ,, ,"Agriculture, forest & fishing",Mining & quarrying,"Food products, beverages & tobacco products",Textiles & wood activities,"Petroleum, chemicals, pharmaceuticals, rubber, plastic products",Metal and machinery products,"Computer, electronic and optical products",Transport equipment,Other manufacturing,"Electricity, gas, water and waste",Construction,"Retail & wholesale trade, repair of motor vehicles & motor cycles,",Transportation & storage,Information and communication,Financial services,"Professional, scientific & technical services",Administrative and support service activities,Other services,Total,,,,,,,,,,,,,,,,,,,
,,SLOVENIA,58,2017,..,-,-,-,-,..,-,-,-,-,-,5,-,..,-,..,-,-,7,,,,,,,,,,,,,,,,,,,
,, ,59,2018,..,-,-,-,-,..,-,-,-,-,-,9,..,..,-,..,-,-,11,,,,,,,,,,,,,,,,,,,
,,,,2019,..,-,-,-,-,..,-,-,-,-,-,8,..,1,-,..,-,-,11,,,,,,,,,,,,,,,,,,,
,, ,60,2020,..,-,-,-,-,..,-,-,-,-,-,4,..,3,-,..,..,..,10,,,,,,,,,,,,,,,,,,,
,,SPAIN,58,2017,2,..,49,155,41,103,6,81,389,..,..,697,..,..,"24,671",349,37,..,"47,650",,,,,,,,,,,,,,,,,,,
,, ,59,2018,14,..,54,148,48,99,2,43,480,..,125,642,..,..,"25,366",444,33,..,"50,222",,,,,,,,,,,,,,,,,,,
,,,,2019,5,..,365,156,135,180,2,42,..,..,90,568,..,..,"16,136",..,29,..,"44,862",,,,,,,,,,,,,,,,,,,
,, ,60,2020,9,..,401,169,63,181,13,211,..,..,-7,878,..,..,"16,289",780,359,307,"49,210",,,,,,,,,,,,,,,,,,,
,,SWEDEN,58,2017,47,..,30,344,478,802,221,..,231,..,30,806,..,594,135,..,197,42,"8,471",,,,,,,,,,,,,,,,,,,
,, ,59,2018,52,..,61,146,471,677,226,..,230,..,..,781,..,555,69,"3,311",228,45,"7,754",,,,,,,,,,,,,,,,,,,
,,,,2019,68,..,2,306,"1,003",750,247,..,233,..,9,595,50,691,146,"3,253",180,51,"8,000",,,,,,,,,,,,,,,,,,,
,, ,60,2020,29,..,..,314,"1,454",933,21,192,300,-22,28,889,35,819,784,"3,410",419,454,"10,069",,,,,,,,,,,,,,,,,,,
,EFTA         , ,62,2017,..,"3,304",..,121,566,428,99,235,605,..,63,"3,007",991,..,"63,603","1,820",..,222,"75,454",,,,,,,,,,,,,,,,,,,
,, ,63,2018,558,"4,195",..,105,..,356,..,314,802,966,..,"2,786","1,442",..,"51,515","6,484",..,..,"74,643",,,,,,,,,,,,,,,,,,,
,,,,2019,570,"5,790",..,..,865,..,205,264,599,..,38,"2,328",..,..,"55,213","20,361",-40,186,"94,410",,,,,,,,,,,,,,,,,,,
,of which,,64,2020,578,"3,888","1,206",198,..,..,..,305,962,..,85,"4,732",688,623,"62,380","17,641",909,"1,131","101,296",,,,,,,,,,,,,,,,,,,
